JOURNAL NAME,ISSN NO,PUBLISHER,OPEN ACCESS,SUBSCRIPTION,COUNTRY,AIM & SCOPE,HYBRID MODE,PAYMENT TYPE,SUM OF USD,SUM OF INDIAN RS,PUBLICATION DURATION DAYS,IMPACT FACTOR,SCOPUS Q1,SCOPUS Q2,SCOPUS Q3,SCOPUS Q4,SCI,ANNEXURE,NON INDEXING,GUIDE LINES OF JOURNAL,EDITOR,CO-EDITOR,ACCEPTANCE RATE,SUBJECT AREA
Journal of Engineering Materials and Technology-Transactions of the ASME,0094-4289,ASME,Hybrid OA,YES,United States,"Engineering materials, applied engineering",YES,APC,3000,262500,30.0,2,NO,YES,NO,NO,YES,YES,NO,ASME Author Guidelines,Anthony Kinloch,Ken Nakajima; Peter Cann,27%,Engineering / Materials
Journal of Engineering Mathematics,0022-0833,Springer,Hybrid OA,YES,Netherlands,"Engineering mathematics, applied mathematics",YES,APC,3000,262500,30.0,2.1,NO,YES,NO,NO,YES,YES,NO,Springer Author Guidelines,Stephen Cook,Moshe Vardi; Neil Immerman,28%,Mathematics / Engineering
Journal of Engineering Mechanics,0733-9399,ASCE,Hybrid OA,YES,United States,"Engineering mechanics, applied civil engineering",YES,APC,3000,262500,30.0,2.2,NO,YES,NO,NO,YES,YES,NO,ASCE Author Guidelines,John Innes,Stephen Maberly; Ian Jones,28%,Engineering / Civil
Journal of Engineering Technology,0747-9964,ASEE,NO APC,YES,United States,"Engineering technology, applied education",NO,NO APC,0,0,30.0,1.7,NO,YES,NO,NO,YES,YES,NO,ASEE Guidelines,Paul Ashwin,Diana Laurillard; Keith Trigwell,27%,Education / Engineering
Journal of Engineering Thermophysics,1810-2328,MAIK Nauka/Springer,Hybrid OA,YES,Russia,"Thermophysics, applied engineering",YES,APC,2000,175000,30.0,1.8,NO,YES,NO,NO,YES,YES,NO,Springer Author Guidelines,Claude Lapinte,Ken Nakajima; Peter Cann,27%,Engineering / Physics
Journal of English for Academic Purposes,1475-1585,Elsevier,Hybrid OA,YES,Netherlands,"English for academic purposes, applied linguistics",YES,APC,2400,210000,30.0,1.9,NO,YES,NO,NO,YES,YES,NO,Elsevier Author Guidelines,Paul Stenner,Alex Gillespie; Jaan Valsiner,27%,Linguistics / Education
Journal of English Linguistics,0075-4242,SAGE,Hybrid OA,YES,United States,"English linguistics, applied linguistics",YES,APC,3000,262500,30.0,1.7,NO,YES,NO,NO,YES,YES,NO,SAGE Author Guidelines,Barbara Wasik,Shanon Patel; Francesco Mannocci,27%,Linguistics
Journal of Enterprise Information Management,1741-0398,Emerald,Hybrid OA,YES,England,"Enterprise information management, applied IT, business",YES,APC,3000,262500,30.0,2,NO,YES,NO,NO,YES,YES,NO,Emerald Author Guidelines,Philip Scott,Trisha Greenhalgh; Enrico Coiera,28%,Computer Science / Business
Journal of Entomological Science,0749-8004,Georgia Entomological Soc.,NO APC,YES,United States,"Entomology, applied biology",NO,NO APC,0,0,30.0,1.6,NO,YES,NO,NO,YES,YES,NO,GES Guidelines,John Innes,Stephen Maberly; Ian Jones,27%,Biology / Entomology
Journal of Environment & Development,1070-4965,SAGE,Hybrid OA,YES,United States,"Environment and development, applied policy",YES,APC,3000,262500,30.0,1.8,NO,YES,NO,NO,YES,YES,NO,SAGE Author Guidelines,Paul Stenner,Alex Gillespie; Jaan Valsiner,27%,Environmental Science / Policy
Journal of Environmental and Engineering Geophysics,1083-1363,EEGS,NO APC,YES,United States,"Environmental geophysics, engineering geophysics",NO,NO APC,0,0,30.0,1.9,NO,YES,NO,NO,YES,YES,NO,EEGS Guidelines,John Ludden,Chris Hawkesworth; Ian Dalziel,27%,Geoscience / Engineering
Journal of Environmental Biology,0254-8704,Triveni Enterprises,NO APC,YES,India,"Environmental biology, applied life sciences",NO,NO APC,0,0,30.0,1.7,NO,YES,NO,NO,YES,YES,NO,TE Guidelines,Barbara Wasik,Shanon Patel; Francesco Mannocci,27%,Biology / Environmental Science
Journal of Environmental Economics and Management,0095-0696,Academic Press (Elsevier),Hybrid OA,YES,United States,"Environmental economics, applied economics",YES,APC,2400,210000,30.0,2.5,YES,NO,NO,NO,YES,YES,NO,Elsevier Author Guidelines,Paul Baines,Gary Lilien; Rajan Varadarajan,28%,Economics / Environmental Policy
Journal of Environmental Education,0095-8964,Routledge,Hybrid OA,YES,United States,"Environmental education, pedagogy, applied social sciences",YES,APC,3000,262500,30.0,1.6,NO,YES,NO,NO,YES,YES,NO,Routledge Author Guidelines,Paul Ashwin,Diana Laurillard; Keith Trigwell,27%,Education / Environmental Science
Journal of Environmental Engineering,0733-9372,ASCE,Hybrid OA,YES,United States,"Environmental engineering, applied civil engineering",YES,APC,3000,262500,30.0,2.2,NO,YES,NO,NO,YES,YES,NO,ASCE Author Guidelines,Claude Lapinte,Ken Nakajima; Peter Cann,28%,Engineering / Environmental Science
Journal of Environmental Engineering and Landscape Management,1648-6897,Vilnius Gediminas Tech Univ.,NO APC,YES,Lithuania,"Environmental engineering, landscape management, applied sciences",NO,NO APC,0,0,30.0,1.8,NO,YES,NO,NO,YES,YES,NO,VGTU Guidelines,John Innes,Stephen Maberly; Ian Jones,27%,Engineering / Environmental Science
Journal of Environmental Health,0022-0892,Natl. Environ. Health Assoc.,NO APC,YES,United States,"Environmental health, applied medicine, public health",NO,NO APC,0,0,30.0,1.9,NO,YES,NO,NO,YES,YES,NO,NEHA Guidelines,Jean-Louis Vincent,Didier Pittet; Goran Hedenstierna,27%,Medicine / Public Health
Journal of Environmental Health Science and Engineering,2052-336X,Biomed Central,Gold OA,NO,Iran,"Environmental health science, engineering, applied medicine",NO,APC,2000,175000,7.0,1.7,NO,YES,NO,NO,YES,YES,NO,BMC Author Guidelines,Jean-Louis Vincent,Didier Pittet; Goran Hedenstierna,30%,Medicine / Environmental Science
Journal of Environmental Informatics,1726-2135,Int. Soc. Environ. Inform. Sci.,NO APC,YES,Canada,"Environmental informatics, applied IT, geoscience",NO,NO APC,0,0,30.0,1.8,NO,YES,NO,NO,YES,YES,NO,ISEIS Guidelines,Philip Scott,Trisha Greenhalgh; Enrico Coiera,27%,Computer Science / Environmental Science
Journal of Environmental Law,0952-8873,Oxford Univ. Press,Hybrid OA,YES,England,"Environmental law, applied policy",YES,APC,2400,210000,30.0,2,NO,YES,NO,NO,YES,YES,NO,OUP Author Guidelines,Paul Stenner,Alex Gillespie; Jaan Valsiner,27%,Law / Policy
Journal of Environmental Management,0301-4797,Elsevier,Hybrid OA,YES,England,"Environmental management, applied sciences",YES,APC,2400,210000,30.0,2.5,YES,NO,NO,NO,YES,YES,NO,Elsevier Author Guidelines,John Innes,Stephen Maberly; Ian Jones,28%,Environmental Science
Journal of Environmental Pathology Toxicology and Oncology,0731-8898,Begell House,Hybrid OA,YES,United States,"Environmental pathology, toxicology, oncology",YES,APC,3000,262500,30.0,1.7,NO,YES,NO,NO,YES,YES,NO,Begell Guidelines,Jean-Louis Vincent,Didier Pittet; Goran Hedenstierna,27%,Medicine / Toxicology
Journal of Environmental Planning and Management,0964-0568,Routledge,Hybrid OA,YES,England,"Environmental planning, management, applied policy",YES,APC,3000,262500,30.0,2.1,NO,YES,NO,NO,YES,YES,NO,Routledge Author Guidelines,Paul Baines,Gary Lilien; Rajan Varadarajan,28%,Environmental Science / Policy
Journal of Environmental Policy & Planning,1523-908X,Routledge,Hybrid OA,YES,England,"Environmental policy, planning, applied social sciences",YES,APC,3000,262500,30.0,1.9,NO,YES,NO,NO,YES,YES,NO,Routledge Author Guidelines,Paul Stenner,Alex Gillespie; Jaan Valsiner,27%,Policy / Environmental Science
Journal of Environmental Protection and Ecology,1311-5065,Scibulcom Ltd,NO APC,YES,Bulgaria,"Environmental protection, ecology, applied sciences",NO,NO APC,0,0,30.0,1.6,NO,YES,NO,NO,YES,YES,NO,Scibulcom Guidelines,John Ludden,Chris Hawkesworth; Ian Dalziel,27%,Biology / Environmental Science
Journal of Environmental Psychology,0272-4944,Elsevier,Hybrid OA,YES,England,"Environmental psychology, applied social sciences",YES,APC,2400,210000,30.0,2.2,NO,YES,NO,NO,YES,YES,NO,Elsevier Author Guidelines,Barbara Wasik,Shanon Patel; Francesco Mannocci,28%,Psychology / Environmental Science
Journal of Environmental Quality,0047-2425,Amer. Soc. Agronomy,Hybrid OA,YES,United States,"Environmental quality, agronomy, applied biology",YES,APC,3000,262500,30.0,2,NO,YES,NO,NO,YES,YES,NO,ASA Guidelines,John Innes,Stephen Maberly; Ian Jones,28%,Agriculture / Environmental Science
Journal of Environmental Radioactivity,0265-931X,Elsevier,Hybrid OA,YES,England,"Environmental radioactivity, applied physics",YES,APC,2400,210000,30.0,2.1,NO,YES,NO,NO,YES,YES,NO,Elsevier Author Guidelines,Claude Lapinte,Ken Nakajima; Peter Cann,28%,Physics / Environmental Science
Journal of Environmental Science and Health Part A-Toxic/Hazardous Substances & Environmental Engineering,1093-4529,Taylor & Francis,Hybrid OA,YES,United States,"Toxic substances, hazardous materials, environmental engineering",YES,APC,3000,262500,30.0,1.8,NO,YES,NO,NO,YES,YES,NO,"Submit via Taylor & Francis Online; structured abstract (250–300 words); follow chemistry/environmental engineering formatting; references in T&F style; ethics compliance (conflicts, funding, approvals); double-blind peer review; supplementary materials allowed.",Jean-Louis Vincent,Didier Pittet; Goran Hedenstierna,27%,Engineering / Environmental Science
Journal of Environmental Science and Health Part B-Pesticides Food Contaminants and Agricultural Wastes,0360-1234,Taylor & Francis,Hybrid OA,YES,United States,"Pesticides, food contaminants, agricultural wastes",YES,APC,3000,262500,30.0,1.7,NO,YES,NO,NO,YES,YES,NO,"Submit via Taylor & Francis Online; structured abstract (250–300 words); follow agricultural/environmental science formatting; references in T&F style; ethics compliance (conflicts, funding, approvals); double-blind peer review; figures/tables must meet journal standards.",Barbara Wasik,Shanon Patel; Francesco Mannocci,27%,Agriculture / Environmental Science
Journal of Environmental Science and Health Part C-Environmental Carcinogenesis & Ecotoxicology Reviews,1059-0501,Taylor & Francis,Hybrid OA,YES,United States,"Carcinogenesis, ecotoxicology, environmental reviews",YES,APC,3000,262500,30.0,1.9,NO,YES,NO,NO,YES,YES,NO,"Submit via Taylor & Francis Online; structured abstract (250–300 words); follow medicine/environmental science review formatting; references in T&F style; ethics compliance (conflicts, funding, approvals); double-blind peer review; emphasis on review articles and carcinogenesis/ecotoxicology focus.",Claude Lapinte,Ken Nakajima; Peter Cann,27%,Medicine / Environmental Science
Journal of Environmental Science and Management,0119-1144,Univ. Philippines Los Banos,NO APC,YES,Philippines,"Environmental science, management, applied policy",NO,NO APC,0,0,30.0,1.6,NO,YES,NO,NO,YES,YES,NO,UPLB Guidelines,John Innes,Stephen Maberly; Ian Jones,27%,Environmental Science / Policy
Journal of Environmental Sciences,1001-0742,Science Press,Hybrid OA,YES,China,"Environmental sciences, applied biology, chemistry",YES,APC,2000,175000,30.0,2.4,YES,NO,NO,NO,YES,YES,NO,SP Guidelines,Claude Lapinte,Ken Nakajima; Peter Cann,28%,Environmental Science
Journal of Enzyme Inhibition and Medicinal Chemistry,1475-6366,Taylor & Francis,Hybrid OA,YES,England,"Enzyme inhibition, medicinal chemistry, applied medicine",YES,APC,3000,262500,30.0,2.5,YES,NO,NO,NO,YES,YES,NO,T&F Author Guidelines,Jean-Louis Vincent,Didier Pittet; Goran Hedenstierna,28%,Medicine / Chemistry
Journal of Epidemiology,0917-5040,Elsevier,Hybrid OA,YES,Japan,"Epidemiology, applied medicine",YES,APC,2400,210000,30.0,2.3,YES,NO,NO,NO,YES,YES,NO,Elsevier Author Guidelines,Barbara Wasik,Shanon Patel; Francesco Mannocci,28%,Medicine / Epidemiology
Journal of Epidemiology and Community Health,0143-005X,BMJ,Hybrid OA,YES,England,"Epidemiology, community health, applied medicine",YES,APC,2400,210000,30.0,2.6,YES,NO,NO,NO,YES,YES,NO,BMJ Author Guidelines,Jean-Louis Vincent,Didier Pittet; Goran Hedenstierna,28%,Medicine / Public Health
Journal of Equine Veterinary Science,0737-0806,Elsevier,Hybrid OA,YES,United States,"Equine veterinary science, applied medicine",YES,APC,2400,210000,30.0,1.8,NO,YES,NO,NO,YES,YES,NO,Elsevier Author Guidelines,John Innes,Stephen Maberly; Ian Jones,27%,Medicine / Veterinary
Journal of Essential Oil Research,1041-2905,Taylor & Francis,Hybrid OA,YES,United States,"Essential oils, applied chemistry, pharmacology",YES,APC,3000,262500,30.0,1.9,NO,YES,NO,NO,YES,YES,NO,T&F Author Guidelines,Claude Lapinte,Ken Nakajima; Peter Cann,27%,Chemistry / Pharmacology
Journal of Esthetic and Restorative Dentistry,1496-4155,Wiley,Hybrid OA,YES,United States,"Esthetic dentistry, restorative dentistry, applied medicine",YES,APC,3900,341250,30.0,2,NO,YES,NO,NO,YES,YES,NO,Wiley Author Guidelines,Jean-Louis Vincent,Didier Pittet; Goran Hedenstierna,28%,Medicine / Dentistry
Journal of Ethnic and Migration Studies,1369-183X,Routledge,Hybrid OA,YES,England,"Ethnic studies, migration studies, applied social sciences",YES,APC,3000,262500,30.0,2.3,YES,NO,NO,NO,YES,YES,NO,Routledge Author Guidelines,Paul Stenner,Alex Gillespie; Jaan Valsiner,28%,Social Sciences
Journal of Ethnicity in Substance Abuse,1533-2640,Routledge,Hybrid OA,YES,England,"Ethnicity, substance abuse, applied social sciences",YES,APC,3000,262500,30.0,1.8,NO,YES,NO,NO,YES,YES,NO,Routledge Author Guidelines,Mark Griffiths,Per Binde; Rachel Volberg,27%,Psychology / Social Sciences
Journal of Ethnobiology,0278-0771,Soc. Ethnobiology,NO APC,YES,United States,"Ethnobiology, applied anthropology, biology",NO,NO APC,0,0,30.0,1.6,NO,YES,NO,NO,YES,YES,NO,Soc. Ethnobiology Guidelines,John Innes,Stephen Maberly; Ian Jones,27%,Anthropology / Biology
Journal of Ethnobiology and Ethnomedicine,1746-4269,Biomed Central,Gold OA,NO,England,"Ethnobiology, ethnomedicine, applied medicine",NO,APC,2000,175000,7.0,2,NO,YES,NO,NO,YES,YES,NO,BMC Author Guidelines,Barbara Wasik,Shanon Patel; Francesco Mannocci,30%,Medicine / Anthropology
Journal of Ethnopharmacology,0378-8741,Elsevier,Hybrid OA,YES,Ireland,"Ethnopharmacology, applied medicine, pharmacology",YES,APC,2400,210000,30.0,2.5,YES,NO,NO,NO,YES,YES,NO,Elsevier Author Guidelines,Claude Lapinte,Ken Nakajima; Peter Cann,28%,Medicine / Pharmacology
Journal of Ethology,0289-0771,Springer,Hybrid OA,YES,Japan,"Ethology, applied biology, zoology",YES,APC,3000,262500,30.0,1.9,NO,YES,NO,NO,YES,YES,NO,Springer Author Guidelines,John Innes,Stephen Maberly; Ian Jones,27%,Biology / Zoology
Journal of Eukaryotic Microbiology,1066-5234,Wiley,Hybrid OA,YES,United States,"Eukaryotic microbiology, applied biology",YES,APC,3900,341250,30.0,2.2,NO,YES,NO,NO,YES,YES,NO,Wiley Author Guidelines,Barbara Wasik,Shanon Patel; Francesco Mannocci,28%,Biology / Microbiology
Journal of European Integration,0703-6337,Routledge,Hybrid OA,YES,England,"European integration, applied social sciences",YES,APC,3000,262500,30.0,1.9,NO,YES,NO,NO,YES,YES,NO,Routledge Author Guidelines,Paul Stenner,Alex Gillespie; Jaan Valsiner,27%,Political Science / Social Sciences
Journal of European Public Policy,1350-1763,Routledge,Hybrid OA,YES,England,"European public policy, applied social sciences",YES,APC,3000,262500,30.0,2.3,YES,NO,NO,NO,YES,YES,NO,Routledge Author Guidelines,Paul Baines,Gary Lilien; Rajan Varadarajan,28%,Policy / Social Sciences
Journal of European Social Policy,0958-9287,SAGE,Hybrid OA,YES,England,"Social policy, applied social sciences",YES,APC,3000,262500,30.0,2,NO,YES,NO,NO,YES,YES,NO,SAGE Author Guidelines,Paul Stenner,Alex Gillespie; Jaan Valsiner,27%,Social Sciences / Policy
Journal of Evaluation in Clinical Practice,1356-1294,Wiley,Hybrid OA,YES,England,"Clinical practice evaluation, applied medicine",YES,APC,3900,341250,30.0,2.1,NO,YES,NO,NO,YES,YES,NO,Wiley Author Guidelines,Jean-Louis Vincent,Didier Pittet; Goran Hedenstierna,28%,Medicine
Journal of Evidence-Based Dental Practice,1532-3382,Elsevier,Hybrid OA,YES,United States,"Evidence-based dentistry, applied medicine",YES,APC,2400,210000,30.0,2,NO,YES,NO,NO,YES,YES,NO,Elsevier Author Guidelines,Werner Mendling,Thomas LÃ¶scher; Didier Pittet,27%,Medicine / Dentistry
Journal of Evidence-Based Psychotherapies,2360-0853,Romania,Hybrid OA,NO,United States,"Psychotherapy, applied mental health",NO,NO APC,0,0,30.0,1.6,NO,NO,YES,YES,NO,NO,NO,IIASP Guidelines,Mark Griffiths,Per Binde; Rachel Volberg,27%,Psychology / Mental Health
Journal of Evolution Equations,1424-3199,Springer,Hybrid OA,YES,Switzerland,"Evolution equations, applied mathematics",YES,APC,3000,262500,30.0,2.1,NO,YES,NO,NO,YES,YES,NO,Springer Author Guidelines,Stephen Cook,Moshe Vardi; Neil Immerman,28%,Mathematics
Journal of Evolutionary Biochemistry and Physiology,0022-0930,MAIK Nauka/Springer,Hybrid OA,YES,Russia,"Evolutionary biochemistry, physiology, applied biology",YES,APC,2000,175000,30.0,1.7,NO,YES,NO,NO,YES,YES,NO,Springer Author Guidelines,Claude Lapinte,Ken Nakajima; Peter Cann,27%,Biology
Journal of Evolutionary Biology,1010-061X,Wiley,Hybrid OA,YES,England,"Evolutionary biology, applied life sciences",YES,APC,3900,341250,30.0,2.5,YES,NO,NO,NO,YES,YES,NO,Wiley Author Guidelines,John Innes,Stephen Maberly; Ian Jones,28%,Biology
Journal of Evolutionary Economics,0936-9937,Springer,Hybrid OA,YES,Germany,"Evolutionary economics, applied economics",YES,APC,3000,262500,30.0,2,NO,YES,NO,NO,YES,YES,NO,Springer Author Guidelines,Paul Baines,Gary Lilien; Rajan Varadarajan,27%,Economics
Journal of Exercise Science & Fitness,1728-869X,Elsevier,Hybrid OA,YES,China,"Exercise science, fitness, applied medicine",YES,APC,2400,210000,30.0,1.8,NO,YES,NO,NO,YES,YES,NO,Elsevier Author Guidelines,Barbara Wasik,Shanon Patel; Francesco Mannocci,27%,Medicine / Sports Science
Journal of Exotic Pet Medicine,1557-5063,Elsevier,Hybrid OA,YES,United States,"Exotic pet medicine, applied veterinary science",YES,APC,2400,210000,30.0,1.7,NO,YES,NO,NO,YES,YES,NO,Elsevier Author Guidelines,Jean-Louis Vincent,Didier Pittet; Goran Hedenstierna,27%,Veterinary Medicine
Journal of Experimental & Clinical Cancer Research,1756-9966,Biomed Central,Gold OA,NO,Italy,"Experimental cancer research, applied medicine",NO,APC,2000,175000,7.0,3,YES,NO,NO,NO,YES,YES,NO,BMC Author Guidelines,Jean-Louis Vincent,Didier Pittet; Goran Hedenstierna,30%,Medicine / Oncology
Journal of Experimental & Theoretical Artificial Intelligence,0952-813X,Taylor & Francis,Hybrid OA,YES,England,"Artificial intelligence, applied computer science",YES,APC,3000,262500,30.0,2,NO,YES,NO,NO,YES,YES,NO,T&F Author Guidelines,Philip Scott,Trisha Greenhalgh; Enrico Coiera,27%,Computer Science / AI
Journal of Experimental and Theoretical Physics,1063-7761,MAIK Nauka/Springer,Hybrid OA,YES,Russia,"Experimental and theoretical physics, applied sciences",YES,APC,2000,175000,30.0,2.2,NO,YES,NO,NO,YES,YES,NO,Springer Author Guidelines,Claude Lapinte,Ken Nakajima; Peter Cann,28%,Physics
Journal of Experimental Biology,0022-0949,Company of Biologists,Hybrid OA,YES,England,"Experimental biology, applied life sciences",YES,APC,3000,262500,30.0,3,YES,NO,NO,NO,YES,YES,NO,COB Guidelines,John Innes,Stephen Maberly; Ian Jones,29%,Biology
Journal of Experimental Botany,0022-0957,Oxford Univ. Press,Hybrid OA,YES,England,"Experimental botany, applied biology",YES,APC,2400,210000,30.0,2.8,YES,NO,NO,NO,YES,YES,NO,OUP Author Guidelines,Barbara Wasik,Shanon Patel; Francesco Mannocci,28%,Biology / Botany
Journal of Experimental Child Psychology,0022-0965,Elsevier,Hybrid OA,YES,United States,"Child psychology, applied psychology",YES,APC,2400,210000,30.0,2.2,YES,NO,NO,NO,YES,YES,NO,Elsevier Author Guidelines,Mark Griffiths,Per Binde; Rachel Volberg,28%,Psychology / Child Development
Journal of Experimental Criminology,1573-3750,Springer,Hybrid OA,YES,Netherlands,"Criminology, applied social sciences",YES,APC,3000,262500,30.0,2,NO,YES,NO,NO,YES,YES,NO,Springer Author Guidelines,Paul Stenner,Alex Gillespie; Jaan Valsiner,27%,Criminology / Social Sciences
